,Pts_A,Pts_B,Gm1,Gm2,Set1,Set2,0_dir
489,15,30,3,5,1,0,6
490,30,30,3,5,1,0,6
491,40,30,3,5,1,0,6
492,40,40,3,5,1,0,6
493,40,50,3,5,1,0,6
494,0,0,0,1,1,1,6
495,15,0,0,1,1,1,4
496,30,0,0,1,1,1,4
497,30,15,0,1,1,1,4
498,40,15,0,1,1,1,6
501,30,0,1,2,1,1,4
502,40,0,1,2,1,1,4
503,0,0,2,3,1,1,4
504,15,0,2,3,1,1,4
505,15,15,2,3,1,1,4
506,30,15,2,3,1,1,4
507,40,15,2,3,1,1,4
508,0,0,3,4,1,1,4
509,15,0,3,4,1,1,6
510,30,0,3,4,1,1,6
511,40,0,3,4,1,1,6
512,0,0,4,5,1,1,6
513,15,0,4,5,1,1,6
514,30,0,4,5,1,1,6
515,40,0,4,5,1,1,4
516,0,0,5,6,1,1,4
517,15,0,5,6,1,1,4
518,30,0,5,6,1,1,4
519,40,0,5,6,1,1,4
520,0,1,6,6,1,1,6
521,1,1,6,6,1,1,6
522,2,3,6,6,1,1,6
523,3,3,6,6,1,1,6
524,5,4,6,6,1,1,4
525,6,4,6,6,1,1,6
526,0,0,0,0,0,0,4
527,15,0,0,0,0,0,4
528,30,0,0,0,0,0,6
529,40,0,0,0,0,0,4
530,0,0,1,1,0,0,5
531,15,0,1,1,0,0,4
532,30,0,1,1,0,0,6
533,40,0,1,1,0,0,4
534,0,0,2,2,0,0,6
535,15,0,2,2,0,0,6
536,30,0,2,2,0,0,6
537,30,15,2,2,0,0,4
538,40,15,2,2,0,0,6
539,0,0,3,3,0,0,6
540,15,0,3,3,0,0,6
541,30,0,3,3,0,0,4
542,40,0,3,3,0,0,6
543,0,0,4,4,0,0,4
544,15,0,4,4,0,0,6
545,30,0,4,4,0,0,4
546,40,0,4,4,0,0,4
547,0,0,5,5,0,0,4
548,15,0,5,5,0,0,4
550,30,15,5,5,0,0,6
551,40,15,5,5,0,0,4
552,40,30,5,5,0,0,5
553,0,0,6,6,0,0,4
554,2,1,6,6,0,0,6
555,3,1,6,6,0,0,6
556,6,1,6,6,0,0,4
557,0,0,0,1,1,0,4
558,15,0,0,1,1,0,4
560,40,0,0,1,1,0,4
561,0,0,1,2,1,0,4
562,15,0,1,2,1,0,4
563,30,0,1,2,1,0,4
564,30,15,1,2,1,0,4
565,40,15,1,2,1,0,4
566,0,0,2,3,1,0,4
567,15,0,2,3,1,0,4
568,15,15,2,3,1,0,4
569,30,15,2,3,1,0,4
570,40,15,2,3,1,0,4
571,0,0,3,4,1,0,5
572,15,0,3,4,1,0,6
573,30,0,3,4,1,0,6
574,40,0,3,4,1,0,6
575,0,0,5,4,1,0,6
576,15,0,5,4,1,0,4
577,30,0,5,4,1,0,6
578,30,15,5,4,1,0,4
579,40,15,5,4,1,0,4
580,0,0,0,0,0,0,4
582,30,0,0,0,0,0,4
583,40,0,0,0,0,0,6
584,0,0,1,1,0,0,6
585,0,15,1,1,0,0,4
586,0,30,1,1,0,0,6
588,30,30,1,1,0,0,4
589,40,30,1,1,0,0,4
590,0,0,2,2,0,0,6
591,15,0,2,2,0,0,6
592,30,0,2,2,0,0,4
593,40,0,2,2,0,0,6
594,0,0,3,3,0,0,4
595,15,0,3,3,0,0,5
596,30,0,3,3,0,0,4
597,30,15,3,3,0,0,4
598,40,15,3,3,0,0,4
600,15,0,5,3,0,0,4
601,30,0,5,3,0,0,4
602,40,0,5,3,0,0,4
603,0,0,0,1,1,0,4
604,15,0,0,1,1,0,6
605,30,0,0,1,1,0,4
606,40,0,0,1,1,0,6
607,0,0,1,2,1,0,6
608,15,0,1,2,1,0,4
609,30,0,1,2,1,0,6
610,40,0,1,2,1,0,4
611,0,0,3,2,1,0,4
612,15,0,3,2,1,0,6
613,15,15,3,2,1,0,6
614,30,15,3,2,1,0,4
615,40,15,3,2,1,0,6
616,0,0,4,3,1,0,4
617,15,0,4,3,1,0,4
618,30,0,4,3,1,0,6
619,40,0,4,3,1,0,6
620,0,0,5,4,1,0,6
621,15,0,5,4,1,0,6
622,30,0,5,4,1,0,6
623,30,15,5,4,1,0,5
624,40,15,5,4,1,0,6
625,40,30,5,4,1,0,4
626,40,40,5,4,1,0,5
627,50,40,5,4,1,0,4
628,0,0,0,0,0,0,6
629,15,0,0,0,0,0,4
630,30,0,0,0,0,0,6
631,40,0,0,0,0,0,4
632,0,0,1,1,0,0,4
633,15,0,1,1,0,0,4
634,30,0,1,1,0,0,4
635,30,15,1,1,0,0,4
636,40,15,1,1,0,0,6
637,0,0,2,2,0,0,6
638,0,15,2,2,0,0,4
639,0,30,2,2,0,0,4
640,0,40,2,2,0,0,4
641,0,0,3,3,0,0,6
642,15,0,3,3,0,0,6
643,15,15,3,3,0,0,6
644,15,30,3,3,0,0,6
645,30,30,3,3,0,0,4
646,30,40,3,3,0,0,6
647,0,0,3,5,0,0,6
648,15,0,3,5,0,0,6
649,30,0,3,5,0,0,4
650,30,15,3,5,0,0,6
651,30,30,3,5,0,0,4
652,40,30,3,5,0,0,6
653,0,0,0,0,0,1,4
654,15,0,0,0,0,1,4
655,15,15,0,0,0,1,4
656,30,15,0,0,0,1,4
657,40,15,0,0,0,1,6
658,40,30,0,0,0,1,4
659,0,0,1,1,0,1,4
660,0,15,1,1,0,1,6
661,15,15,1,1,0,1,4
662,30,15,1,1,0,1,6
663,30,30,1,1,0,1,4
664,40,30,1,1,0,1,6
665,40,40,1,1,0,1,4
666,50,40,1,1,0,1,4
667,0,0,2,2,0,1,4
668,0,15,2,2,0,1,4
669,15,15,2,2,0,1,6
670,30,15,2,2,0,1,4
671,40,15,2,2,0,1,4
672,0,0,3,3,0,1,4
673,15,0,3,3,0,1,4
674,30,0,3,3,0,1,4
675,30,15,3,3,0,1,6
676,40,15,3,3,0,1,4
677,0,0,4,4,0,1,6
678,15,0,4,4,0,1,4
679,30,0,4,4,0,1,4
681,30,30,4,4,0,1,4
682,40,30,4,4,0,1,5
683,0,0,5,5,0,1,4
684,15,0,5,5,0,1,4
685,15,15,5,5,0,1,4
686,30,15,5,5,0,1,4
687,40,15,5,5,0,1,5
688,0,0,6,6,0,1,4
689,2,1,6,6,0,1,6
690,3,1,6,6,0,1,4
691,4,3,6,6,0,1,6
692,5,3,6,6,0,1,4
693,6,5,6,6,0,1,6
694,6,6,6,6,0,1,4
695,0,0,0,0,0,0,5
696,15,0,0,0,0,0,4
697,15,15,0,0,0,0,6
698,30,15,0,0,0,0,5
699,40,15,0,0,0,0,6
700,0,0,1,1,0,0,6
701,15,0,1,1,0,0,6
702,30,0,1,1,0,0,6
703,40,0,1,1,0,0,4
704,0,0,2,2,0,0,4
705,15,0,2,2,0,0,4
706,15,15,2,2,0,0,6
707,30,15,2,2,0,0,6
708,30,30,2,2,0,0,4
709,40,30,2,2,0,0,6
710,40,40,2,2,0,0,4
711,50,40,2,2,0,0,5
712,0,0,4,2,0,0,5
713,15,0,4,2,0,0,5
714,30,0,4,2,0,0,4
716,30,30,4,2,0,0,4
717,40,30,4,2,0,0,4
718,40,40,4,2,0,0,4
719,40,50,4,2,0,0,4
720,40,40,4,2,0,0,6
721,50,40,4,2,0,0,6
722,0,0,5,3,0,0,4
723,15,0,5,3,0,0,4
724,30,0,5,3,0,0,4
725,40,0,5,3,0,0,4
726,0,0,0,1,1,0,6
727,15,0,0,1,1,0,6
728,15,15,0,1,1,0,4
729,30,15,0,1,1,0,5
730,40,15,0,1,1,0,6
731,40,30,0,1,1,0,4
732,0,0,2,1,1,0,4
733,15,0,2,1,1,0,6
734,30,0,2,1,1,0,4
735,40,0,2,1,1,0,6
736,0,0,4,1,1,0,6
737,0,15,4,1,1,0,6
738,15,15,4,1,1,0,6
739,30,15,4,1,1,0,4
740,30,30,4,1,1,0,6
741,40,30,4,1,1,0,4
742,40,40,4,1,1,0,4
743,40,50,4,1,1,0,6
744,40,40,4,1,1,0,4
745,50,40,4,1,1,0,6
746,0,0,0,0,0,0,6
747,15,0,0,0,0,0,4
748,15,15,0,0,0,0,6
749,15,30,0,0,0,0,4
750,30,30,0,0,0,0,6
751,40,30,0,0,0,0,6
753,15,0,1,1,0,0,4
754,30,0,1,1,0,0,4
755,30,15,1,1,0,0,4
756,30,30,1,1,0,0,6
757,40,30,1,1,0,0,6
758,0,0,3,1,0,0,6
759,15,0,3,1,0,0,5
760,30,0,3,1,0,0,6
761,40,0,3,1,0,0,6
762,0,0,4,2,0,0,4
763,15,0,4,2,0,0,4
764,15,15,4,2,0,0,4
765,30,15,4,2,0,0,5
766,30,30,4,2,0,0,5
767,40,30,4,2,0,0,4
768,0,0,5,3,0,0,4
769,15,0,5,3,0,0,5
770,30,0,5,3,0,0,6
771,30,15,5,3,0,0,6
772,30,30,5,3,0,0,4
773,40,30,5,3,0,0,5
774,40,40,5,3,0,0,6
775,50,40,5,3,0,0,4
776,0,0,1,0,1,0,4
777,15,0,1,0,1,0,4
778,30,0,1,0,1,0,6
779,40,0,1,0,1,0,5
780,0,0,2,1,1,0,6
781,0,15,2,1,1,0,6
782,0,30,2,1,1,0,6
783,15,30,2,1,1,0,6
784,30,30,2,1,1,0,4
785,40,30,2,1,1,0,6
786,0,0,3,2,1,0,6
787,0,15,3,2,1,0,6
788,0,30,3,2,1,0,6
789,15,30,3,2,1,0,6
790,30,30,3,2,1,0,6
791,30,40,3,2,1,0,6
792,40,40,3,2,1,0,6
793,50,40,3,2,1,0,6
794,0,0,4,3,1,0,4
795,15,0,4,3,1,0,5
796,15,15,4,3,1,0,4
797,30,15,4,3,1,0,4
798,40,15,4,3,1,0,4
799,0,0,5,4,1,0,4
800,15,0,5,4,1,0,4
801,30,0,5,4,1,0,5
802,40,0,5,4,1,0,4
803,0,0,0,0,0,0,6
804,0,15,0,0,0,0,6
805,15,15,0,0,0,0,4
806,30,15,0,0,0,0,6
807,30,30,0,0,0,0,4
808,40,30,0,0,0,0,4
809,0,0,1,1,0,0,4
810,15,0,1,1,0,0,6
811,15,15,1,1,0,0,4
812,30,15,1,1,0,0,6
813,40,15,1,1,0,0,4
814,0,0,2,2,0,0,6
815,15,0,2,2,0,0,6
816,15,15,2,2,0,0,5
817,15,30,2,2,0,0,4
818,15,40,2,2,0,0,6
819,30,40,2,2,0,0,6
820,0,0,2,4,0,0,6
821,15,0,2,4,0,0,4
822,30,0,2,4,0,0,6
823,40,0,2,4,0,0,4
824,0,0,3,5,0,0,4
825,15,0,3,5,0,0,4
826,30,0,3,5,0,0,4
827,40,0,3,5,0,0,6
828,0,0,0,0,0,1,4
829,15,0,0,0,0,1,6
830,30,0,0,0,0,1,6
831,40,0,0,0,0,1,6
832,0,0,1,1,0,1,6
833,15,0,1,1,0,1,4
834,15,15,1,1,0,1,4
835,30,15,1,1,0,1,4
836,30,30,1,1,0,1,6
837,40,30,1,1,0,1,6
838,0,0,3,1,0,1,6
839,15,0,3,1,0,1,4
840,30,0,3,1,0,1,6
841,30,15,3,1,0,1,6
842,40,15,3,1,0,1,6
843,40,30,3,1,0,1,6
844,40,40,3,1,0,1,6
845,50,40,3,1,0,1,4
846,0,0,4,2,0,1,6
847,0,15,4,2,0,1,4
848,15,15,4,2,0,1,4
849,15,30,4,2,0,1,6
850,30,30,4,2,0,1,4
851,40,30,4,2,0,1,4
852,0,0,5,3,0,1,4
853,0,15,5,3,0,1,5
854,0,30,5,3,0,1,6
855,0,40,5,3,0,1,6
856,15,40,5,3,0,1,4
857,30,40,5,3,0,1,6
858,40,40,5,3,0,1,6
859,40,50,5,3,0,1,5
860,40,40,5,3,0,1,4
861,50,40,5,3,0,1,4
862,0,0,0,1,1,1,6
863,0,15,0,1,1,1,4
864,15,15,0,1,1,1,6
865,30,15,0,1,1,1,6
866,30,30,0,1,1,1,5
867,40,30,0,1,1,1,6
868,0,0,1,2,1,1,4
869,0,15,1,2,1,1,4
870,15,15,1,2,1,1,6
871,30,15,1,2,1,1,6
872,40,15,1,2,1,1,4
873,0,0,2,3,1,1,4
874,15,0,2,3,1,1,5
875,30,0,2,3,1,1,6
876,40,0,2,3,1,1,6
877,40,15,2,3,1,1,4
878,0,0,3,4,1,1,4
879,15,0,3,4,1,1,4
880,30,0,3,4,1,1,6
881,40,0,3,4,1,1,4
882,0,0,5,4,1,1,4
883,15,0,5,4,1,1,6
884,30,0,5,4,1,1,6
885,30,15,5,4,1,1,6
886,30,30,5,4,1,1,4
887,40,30,5,4,1,1,6
