,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
218,6,b27,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,6,f38,b3,f3,b2,f1,f2,f+1,f2,v3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,5,f28,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"4w,",5,f37,s1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,5,f27,f1,f1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,6,b37,f+;1,r-2,v3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,c5,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,6,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"6d,",4,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,4,f28,f3,b3,b3,b2,b3,b1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,6,s38,b3,b1,f1,f1,f2,f2,b2,f3,b3,s3,b3,b2,b3,b2,b1,f1,f1,f3*,,,,,,,,,,,,,,,,,,
231,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,4+,s2,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,4,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"c6d,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,6,b28,b2,b3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"6d,",4,b38,f1,f2,f1,f!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,4,r29,f3,b1,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,6,r27,r-3,m3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"4d,",4,r29,f1,f2,f1,l2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,"6x,",4,b38,b2,f1,f1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
