,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
224,6,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,4+,b2,v19,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,6,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"4d,",4,b27,b28,f17,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,6,b28,f+38,m2,o2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"6d,",4,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,5,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"4d,",4,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,6,b29,f37,b28,f38,b27,f38,b38,b29,f29,f18,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,
233,"4d,",5,b37,f38,b29,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"4d,",5,b28,f19,r28,f+18,f1,v37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"c6d,",5,b37,b37,b38,b28,f19,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,4,f27,f+38,m#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"4x,",5,f28,f18,f28,f18,f38,b38,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,6,f2,f2,b2,f1,f1,r2,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,4,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,"5#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"5n,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,6,f3,b2,s3,b2,b3,b3,b2,b3,b3,b2,f1,r2,b2,b3w@,,,,,,,,,,,,,,,,,,,,,,
244,6,s2,f1,f2,b2,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,6,b2,y1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,4,b2,f1,f2,b+3,s2,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,"6n,",5,f3,b2,f1,r2,f1,f2,b2,b2,b3,b2,s2n@,,,,,,,,,,,,,,,,,,,,,,,,
250,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,4,b2,f3,b2,b3,b3,b3,b3,b2,b1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,
252,6,b2,f2,f1,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,"4n,",4,b2,f2,f2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,"4d,",5,b2,b3,b2,y1,r-3,m3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,"6w,",4,b2,f3,b2,s3,b2,b2,b2,f1,f1,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,
256,4,f2,b2,b3,b2,f1,r3,b2,b3,b2,b3,b2,f2,b2,b1w@,,,,,,,,,,,,,,,,,,,,,,
257,"4d,",4w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,4+,b2,z1,l2,o3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,6,b2,b2,f2,f3,b3,b2,b;2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,4,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
