,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
193,6,f28,f28,f29,f17,f29,b38,b38,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"6x,",5,f28,f18,f27,f38,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"4+n,",5,b38,b38,b39,b29,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,4,f17,f+18,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"4x,",4,b39,b29,f28,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"6d,",4,f28,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,6,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,5,b28,b29,f28,f29,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"6d,",5,f28,b17,f28,f39,s29,f18,f18,f39,s38,f19,r17,f19,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,
202,6,s27,f+18,l2,o18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"4w,",4,b29,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,4,b29,f38,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,6+,b3,z38,b3,z18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"6n,",5,r3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,4,f28,b18,f39,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"4d,",5,f37,b28,f28,f18,f18,f28,s38,f39,b18,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"4n,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"5d,",5,f39,b28,f+38,b1,v17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"4n,",6,f28,f18,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"c6n,",4,f@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,4,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,6,f38,b18,f38,b39,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"4x,",5,b27,f17,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"6d,",5,b27,f+3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,6,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,4,f27,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,5,b27,f39,b39,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"4n,",4,f28,r28,f+38,s1,v17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,4,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"6w,",5,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"6w,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"6x,",5,f!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,4,f29,f29,b38,b37,b38,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,"6n,",5,f17,f29,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"6n,",6,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"6n,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"c6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,4,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,4,b29,f28,f27,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"4w,",5,b29,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"6w,",4,b37,b38,b18,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,"6w,",4,f18,f;18,f38,b27,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
