,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
185,"4x,",4,b2,b3,b2,b2,f2,f2,f1,f2,f2,f3,b1,f2,f2,f3,s2,b1,f2,f2,f2,b2,b3*,,,,,,,,,,,,,
186,"6n,",6,b2,b2,b2,f1,f1,f2,f2,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,
187,6,f2,b2,f2,f3,s2,b3,s3,b3,s2,b3,s3,b1,r3,b3,b1w#,,,,,,,,,,,,,,,,,,,,
188,4,f2,f2,s2,b+3,s2,o2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"4n,",4,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"4w,",4,b2,f1,f1,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"6n,",6,b2,f2,f2,f2,f1,f3,s2,s3d@,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"6w,",4,b2,b2,b2,f2,f2,f2,f2,f1,f1,f2,f1,f1w@,,,,,,,,,,,,,,,,,,,,,,
194,"6n,",6,b2,f3,b2,f2,f2,f3,b2,f1,f2,f1,f2,b2,b2,f1,r1,f1*,,,,,,,,,,,,,,,,,,
195,4,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,6,s2,f2,f2,f2,r3,f3,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"4n,",5,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"4w,",5,f2,b2,b2,f2,b2,b2,b2,f1,r2,f2,b2,f2,b2n@,,,,,,,,,,,,,,,,,,,,,
199,"4d,",4,b2,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"6n,",6,b2,b2,f2,f2,f2,f3,b3,b3,b1,r2,u1,u^1*,,,,,,,,,,,,,,,,,,,,,,
201,"6d,",4,b2,b3,b3,f1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,6+,s2,o1,f2,f2,f2,f1,r2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,6,f2,f2,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"6d,",5,b2,f2,b2,b2,b2,f2,b2,b3,b2,b2,f1,f3,b1,f1,f1,f3,b3,b2,f2,f2,f2,r2,s2,f1,f3w@,,,,,,,,,
205,4,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"4d,",6,b2,y3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"4d,",4,b2,b2,f1,f1,f1,f2,b3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,
208,4,f2,b2,b1,r2,f3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,6,b2,f1,f2,f3,s2,f+3,s2,o3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,6,b2,b3,s3,f1,r2,f1,f2,f2,b2,f1,f2n#,,,,,,,,,,,,,,,,,,,,,,,,
213,6,f2,f1,f3,b2,b2,r2,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"4n,",6,b2,y1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"4n,",4,b3,y2,b-3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"6n,",6,b2,f1,f1,f2,b3,s3,s+3,b2,z2,f3*,,,,,,,,,,,,,,,,,,,,,,,,
217,4+,s2,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"6n,",6,b2,b2,b2,b1,f2,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"6+#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,4,s2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"6d,",6,b3,b2,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
