,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
209,4,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"4n,",4,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"c6d,",5,f18,f1,f3,s3,y1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"6d,",4+,b3,z#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,4,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"6n,",5,f19,f1,f2,b2,b3,b3,b1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"4x,",4,s38,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,4,b28,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"6n,",5,f28,b2,f3,b3,f1,f1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,4,s37,f+1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,6,s3,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,4,b38,f3,s2,f3,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,4,b27,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,4,f28,f+2,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,4,b39,f;3,y1,f-3,b3,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"6d,",5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"c4n,",4,b29,b2,f+3,b2,h^;2,b-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,4,f17,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,6,f28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,"6d,",5,f+28,b3,z^3,b-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,4,f18,f3,s3,b+1,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,4,b37,b;2,f3,b1,f3,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"6n,",6,b38,f1,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,4,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,c4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,4+,s37,s-2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,"6n,",5,b29,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"4+#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,4,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"6d,",5,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"c4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,"4n,",4,b38,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,"4d,",4,s37,s+2,b2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,6,r28,f+3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
