,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
320141,30,0,1,1,1,1,1,"['4nwdx,', '6', 'f19', '19', 'f29', '18', 'f28', '39', 'b28', '38', 'b38', '17', 'f19', '27', 'f18', '37', 'b39nwdx']",sel_uct,dec_greedy,djoko_bot,A,17,False,False
320149,0,0,3,1,1,1,1,"['4nwdx,', '4', '19', 'f17nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
320165,30,0,4,2,1,1,1,"['4nwdx,', '6', 'f28', '19', 'f18', '38', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,False
320167,40,15,4,2,1,1,1,"['4nwdx,', '6', 'f28', '18', 'r37', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,False
320180,40,40,5,3,1,1,1,"['4nwdx,', '6', 'f37', '37', 'b27', '29', 'f18', '19', 'r28', '37*']",sel_uct,dec_greedy,djoko_bot,A,10,False,False
320182,40,40,5,3,1,1,1,"['4nwdx,', '6', 'f28', '17', 'f39', '19', 'f28', '19', 'f18', '37', 'b37', '28', 'f38*']",sel_uct,dec_greedy,djoko_bot,B,13,False,False
320192,15,40,1,0,0,0,1,"['4nwdx,', '6', 'f27', '39', 'b38', '38', 'y17', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,False
320201,15,15,1,2,0,0,1,"['4nwdx,', '6', 'f29', '39', 's29', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,False
320237,30,0,4,5,0,0,1,"['4nwdx,', '6', 'f39', '19', 'r38nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,False
320239,40,15,4,5,0,0,1,"['4nwdx,', '6', 'f28', '18', 'f29', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,False
320280,30,0,1,2,0,1,1,"['4nwdx,', '6', 'f28', '18', 'f18', '19*']",sel_uct,dec_greedy,djoko_bot,A,6,False,False
320300,15,15,4,3,0,1,1,"['4nwdx,', '6', 'f28', '17*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
320302,40,15,4,3,0,1,1,"['4nwdx,', '6', 'f37', '39', 'b29', '39', 's38nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,False
320311,0,0,5,4,0,1,1,"['5nwdx,', '6', '39', 'b29', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,False,False
320332,0,0,0,1,1,1,1,"['4nwdx,', '5', '17', 'f27', '38', 's28', '18', 'f38', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,False,False
320334,15,15,0,1,1,1,1,"['4nwdx,', '6', 'f38', '19', 'f18', '38', 'b38', '28', 'f18', '29', 'b18nwdx']",sel_uct,dec_greedy,djoko_bot,A,11,False,False
320368,15,15,2,3,1,1,1,"['4nwdx,', '6', 'f28', '18', 'r27', '38', 'f39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,False
320378,40,40,2,3,1,1,1,"['4nwdx,', '6', 'f38', '17', 'f19', '37', 's38', '18', 'f39', '17', 'f29', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,12,False,False
320388,15,15,3,4,1,1,1,"['4nwdx,', '6', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
320413,15,15,5,6,1,1,1,"['4nwdx,', '6', 'f29', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
320438,0,0,1,1,0,0,1,"['4nwdx,', '6', '19', 'f28', '19', 'f28', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,False,False
320460,15,40,3,3,0,0,1,"['4nwdx,', '6', 'f27', '37', 'b18*']",sel_uct,dec_greedy,djoko_bot,B,5,False,False
320469,15,15,4,4,0,0,1,"['4nwdx,', '6', 'f29', '29', 'f39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,False
320480,0,0,5,5,0,0,1,"['6nwdx,', '6', '17', 'f17', '38', 'b19', '29', 's37', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,False,False
320538,0,0,3,2,1,0,1,"['6nwdx,', '5', '28', 'f19', '28', 'b38', '18', 'f18', '18', 'f29', '39', 'b38', '38', 'b29nwdx']",sel_uct,dec_greedy,djoko_bot,A,14,False,False
320540,15,15,3,2,1,0,1,"['4nwdx,', '6', 'f29', '27', 'f28', '19', 'v19', '18', 'r18', '19', 'f29', '19', 'f29', '28', 's29', '29', 'b28', '19', 'f39', '39', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,22,False,False
320553,0,0,4,3,1,0,1,"['6nwdx,', '4', '39', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,False,False
320555,15,15,4,3,1,0,1,"['4nwdx,', '6', 'f38', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
320559,40,40,4,3,1,0,1,"['4nwdx,', '6', 'f28', '19*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
320561,40,40,4,3,1,0,1,"['4nwdx,', '6', 'f27', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
320573,30,30,5,4,1,0,1,"['4nwdx,', '6', 'f18', '28', 'f18', '38', 'b19', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,False
320613,30,30,2,3,0,0,1,"['4nwdx,', '6', 'f38', '17', 'f17', '18', 'v18', '28', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,10,False,False
320615,40,40,2,3,0,0,1,"['4nwdx,', '6', 'f38', '18', 'f28', '37', 's28nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,False
320619,40,40,2,3,0,0,1,"['4nwdx,', '6', 'f37', '39', 'b18nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,False
