,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
331207,0,0,2,1,0,1,1,"['4', '38', 'b39', '29', 'f38', '38', 'f39', '37', 'z18', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,10,True,False
331220,0,0,4,1,0,1,1,"['4', '37', 'b29', '38', 'b38', '18*']",sel_uct,dec_greedy,djoko_bot,A,6,True,False
331222,15,15,4,1,0,1,1,"['4', 'b39', '19*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
331224,40,15,4,1,0,1,1,"['4', 's37', '29', 'f29', '28', 'o37', '39', 'b39', '27', 'b28nwdx']",sel_uct,dec_greedy,djoko_bot,A,10,True,False
331237,30,30,5,2,0,1,1,"['4', 'b28', '39', 'b29', '38', 'b28', '39', 'f38', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,True,False
331241,40,40,5,2,0,1,1,"['4', 's28', '38', 'b38', '28', 'f28', '19', 'f18', '29', 's29', '28', 'b37nwdx']",sel_uct,dec_greedy,djoko_bot,A,12,True,False
331243,40,40,5,2,0,1,1,"['4', 's27', '17', 'l27nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
331253,30,0,0,1,1,1,1,"['4', 'b19', '38', 'b38', '37', 'b39nwdx']",sel_uct,dec_greedy,djoko_bot,A,6,True,False
331263,0,0,1,2,1,1,1,"['6', '38', 'b18*']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
331267,15,40,1,2,1,1,1,"['4', 'b28', '37', 'f38', '38', 'b17*']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
331276,0,0,1,4,1,1,1,"['6', '38', 's38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
331278,30,0,1,4,1,1,1,"['4', 'b28', '39', 'b19', '39', 'f38', '28', 'b39', '19', 'f19', '38', 'b38', '29', 's29', '29', 'y27', '17', 'f27', '29*']",sel_uct,dec_greedy,djoko_bot,A,19,True,False
331280,40,15,1,4,1,1,1,"['4', 's29', '18', 'f19*']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
331288,30,0,2,5,1,1,1,"['4', 's38', '39', 'b19nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
331312,0,30,1,1,0,0,1,"['4', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
331318,0,0,1,3,0,0,1,"['6', '38', 'b39', '38', 's38', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
331328,0,0,2,4,0,0,1,"['5', '39', 'b39', '37', 'b18*']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
331330,30,0,2,4,0,0,1,"['4', 's37', '28', 's38', '37', 'b19nwdx']",sel_uct,dec_greedy,djoko_bot,A,6,True,False
331345,40,40,3,5,0,0,1,"['4', 'b28', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
331351,40,40,3,5,0,0,1,"['4', 'b38', '19', 'r17nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
331363,0,0,0,0,0,1,1,"['6', '38', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
331365,30,0,0,0,0,1,1,"['4', 'b37', '18', 'f28', '19', 'f29nwdx']",sel_uct,dec_greedy,djoko_bot,A,6,True,False
331376,30,30,1,1,0,1,1,"['4', 'b38', '18', 'r18', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
331388,15,15,2,2,0,1,1,"['4', 's29', '18', 'f28', '28', 'f29', '38', 'b39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,True,False
331390,30,30,2,2,0,1,1,"['4', 'b29', '19*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
331392,40,40,2,2,0,1,1,"['4', 'b28', '39*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
331405,40,15,4,2,0,1,1,"['4', 'b19', '38', 's29', '38', 'y37', '17', 'r28', '18*']",sel_uct,dec_greedy,djoko_bot,A,9,True,False
331407,40,40,4,2,0,1,1,"['4', 'b38', '18', 'f18', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
331417,0,0,5,3,0,1,1,"['6', '38', 'b29', '38', 'b39*']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
331419,30,0,5,3,0,1,1,"['4', 'b38', '19', 'f28', '38*']",sel_uct,dec_greedy,djoko_bot,A,5,True,False
