,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
319129,40,50,5,3,0,0,1,"['4', 'r38', '29', 'b29', '38', 'b18', '38', 'b39', '37', 'm39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,11,True,True
319138,15,0,0,1,1,0,1,"['4', 'f17', '37', 'm19nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
319162,15,0,2,3,1,0,1,"['4', 'f39', '39', 'b38', '17', 'f28', '19*']",sel_uct,dec_greedy,djoko_bot,A,7,True,True
319164,30,15,2,3,1,0,1,"['4', 'f28', '38', 'b38', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
319171,15,0,3,4,1,0,1,"['4', 'f28', '39', 's29', '28', 'b18', '18*']",sel_uct,dec_greedy,djoko_bot,A,7,True,True
319185,30,15,4,5,1,0,1,"['4', 'f28', '39', 'm19*']",sel_uct,dec_greedy,djoko_bot,B,4,True,True
319187,30,40,4,5,1,0,1,"['4', 'f17', '39', 'b27', '29', 's38', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,True,True
319201,30,40,5,6,1,0,1,"['4', 'f28', '38', 'b39', '18', 'f38', '18', 'f38', '19*']",sel_uct,dec_greedy,djoko_bot,A,9,True,True
319203,40,50,5,6,1,0,1,"['4', 'f28', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
319205,50,40,5,6,1,0,1,"['4', 'f29', '38', 's28', '19*']",sel_uct,dec_greedy,djoko_bot,A,5,True,True
319211,1,4,6,6,1,0,1,"['4', '37', 'b37', '28', 'f38', '17', 'f38', '29', 'o38', '29', 'f39', '37', 'b19', '28', 'f18', '38', 'f38*']",sel_uct,dec_greedy,djoko_bot,B,17,True,True
319216,0,15,0,0,1,1,1,"['4', 'f19', '38', 'y38', '17', 'f38*']",sel_uct,dec_greedy,djoko_bot,B,6,True,True
319218,15,30,0,0,1,1,1,"['4', 'r18', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
319220,30,40,0,0,1,1,1,"['4', 'f28', '38', 'y17', '38', 'b38', '28', 'f18', '38', 'b29', '18', 'r28', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,13,True,True
319222,50,40,0,0,1,1,1,"['4', 'f17', '37', 'b19nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
319232,15,30,1,1,1,1,1,"['4', 'f29', '39', 's39', '38', 's39', '28', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,True,True
319234,30,40,1,1,1,1,1,"['4', 'f18', '38', 'y19', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
319236,50,40,1,1,1,1,1,"['4', 'f18', '38', 'b38', '18*']",sel_uct,dec_greedy,djoko_bot,A,5,True,True
319244,0,15,2,2,1,1,1,"['4', 'f29', '39', 'b38', '17', 'f39', '39', 's29', '28', 'f39', '18', 'f39', '39', 'b38*']",sel_uct,dec_greedy,djoko_bot,B,14,True,True
319246,0,40,2,2,1,1,1,"['4', 'f18', '39', 'b29', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
319256,0,15,3,3,1,1,1,"['4', 'f29', '38', 's37', '17', 'f18', '38', 'b28', '29', 'f18', '38', 'b18', '38', 'b19*']",sel_uct,dec_greedy,djoko_bot,B,14,True,True
319285,40,0,5,5,1,1,1,"['4', 'r27', '17', 'f18', '38', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,6,True,True
319299,5,2,6,6,1,1,1,"['5', '38', 's38', '19', 'f18', '18', 'f28', '38', 'f18', '28', 'f39', '39', 'b28', '18*']",sel_uct,dec_greedy,djoko_bot,A,14,True,True
319321,30,40,1,2,0,0,1,"['4', 'f18', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
319323,40,50,1,2,0,0,1,"['4', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
319339,15,0,2,5,0,0,1,"['4', 'f28', '38', 'b18', '19*']",sel_uct,dec_greedy,djoko_bot,A,5,True,True
319355,15,0,4,5,0,0,1,"['4', 'f17', '38', 'b29nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
319357,30,15,4,5,0,0,1,"['4', 'f28', '39*']",sel_uct,dec_greedy,djoko_bot,A,3,True,True
319359,40,30,4,5,0,0,1,"['4', 'r39', '39', 'b38', '28', 'i18', '18', 'f29', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,True,True
319369,15,0,5,6,0,0,1,"['4', 'f28', '39', 'l38', '18', 'f38', '18', 'f18', '38', 'b39', '39', 'b19', '37', 'y18nwdx']",sel_uct,dec_greedy,djoko_bot,A,14,True,True
319371,15,30,5,6,0,0,1,"['4', 'f28', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
319382,30,15,0,1,0,1,1,"['4', 'f27', '28', 'f38', '28', 'f17*']",sel_uct,dec_greedy,djoko_bot,B,6,True,True
319388,50,40,0,1,0,1,1,"['4', 'r29', '38', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
319390,50,40,0,1,0,1,1,"['4', 'f39', '38', 'b28', '18', 'f18', '38', 'b29', '18*']",sel_uct,dec_greedy,djoko_bot,A,9,True,True
319392,50,40,0,1,0,1,1,"['4', 'f28', '38', 'b38', '37', 'f19', '38', 'b28', '38', 'f37', '39', 's37', '18*']",sel_uct,dec_greedy,djoko_bot,A,13,True,True
319402,30,15,1,2,0,1,1,"['4', 'r39', '19', 'f37', '18', 'r38', '29', 'f29', '38', 'b19', '28', 'r29nwdx']",sel_uct,dec_greedy,djoko_bot,A,12,True,True
319435,40,30,4,3,0,1,1,"['4', 'f28', '39', 'b19nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
319449,30,15,5,4,0,1,1,"['4', 'f19', '28', 'b29', '18', 'f17', '39', 's29', '19', 'f38*']",sel_uct,dec_greedy,djoko_bot,B,10,True,True
319453,50,40,5,4,0,1,1,"['4', 'f28', '38', 'b28', '17', 'f29nwdx']",sel_uct,dec_greedy,djoko_bot,A,6,True,True
319457,50,40,5,4,0,1,1,"['4', 'f29', '38*']",sel_uct,dec_greedy,djoko_bot,A,3,True,True
319475,40,30,6,5,0,1,1,"['4', 'f28', '37', 'b28nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
